Country,Year,Import Share,Fit,GDP/capita,Energy Consumption,Annual Solar Capacity Addition,TechAdvancement,Tech Advancement CN,Trade Policies EU,Fixed Asset Investment CN (prior year),Avg Wage Difference,Environ. St. Difference
Portugal,2015,4.72,0,19250.11,291.23,32,42,12974,47.7,10403.5,272.76,-0.7222
Portugal,2016,3.86,0,19991.97,311.5,65.8,28,17340,47.7,11314.6,282.92,-0.3889
Portugal,2017,3.5,0,21490.43,301.88,66.4,25,22199,47.7,12781.6,241.04,-0.4444
Portugal,2018,5.37,0,23562.55,307.6,88.2,17,25048,33.79,13346.7,228.12,-0.4722
Portugal,2019,58.33,0,23330.82,292.94,234,15,21697,0,15108.17,1329.69,-0.2778
Romania,2005,5.6,0,4618,458.3,0,0,573,0,525.7,128.63,1.7953
Romania,2006,8.86,0,5757.53,467.62,0,1,979,0,771.5,124.59,1.9811
Romania,2007,8.52,0,8360.34,451.19,0,1,1621,0,1110.7,146.88,1.8693
Romania,2008,10.03,0,10435.22,452.45,0.1,2,2364,0,1608.4,159.4645423,2.016
Romania,2009,10.26,0,8548.05,395.31,0,1,4149,0,2344,409.51,2.0698
Romania,2010,8.01,0,8397.81,398.93,0,1,6397,0,3557.7,442.34,1.773
Romania,2011,9.48,0,9560.16,408.68,0.9,5,7634,0,4997.2,434.06,1.7223
Romania,2012,5.63,0,8930.73,392.96,40,4,8395,0,7881.2,371.93,0.6274
Romania,2013,4.1,0,9497.21,366.62,720,6,8057,21.84,8280.1,366.49,0.6339
Romania,2014,9.11,0,10031.34,380.51,532,0,10136,47.7,9210.6,325.78,0.3955
Romania,2015,3.61,0,8976.95,382.46,33,5,12974,47.7,10403.5,432.1010254,0.2546
Romania,2016,1.92,0,9404.38,382.57,46,2,17340,47.7,11314.6,565.24,0.3553
Romania,2017,2.33,0,10727.97,389,2.1,5,22199,47.7,12781.6,784.5927602,0.2865
Romania,2018,2.22,0,12494.42,396.42,11.7,11,25048,33.79,13346.7,1013.73,0.2986
Romania,2019,3.14,0,12958,387.34,11.9,4,21697,0,15108.17,1162.05,0.2782
Slovakia,2005,8.9,0,11690.11,226.27,0,0,573,0,525.7,702.2241544,1.3889
Slovakia,2006,12.28,0,13170.78,220.18,0,0,979,0,771.5,682.5689508,1.4444
Slovakia,2007,11.64,0,16106.06,206.63,0,2,1621,0,1110.7,662.5285359,1.1111
Slovakia,2008,10.73,0,18753.58,212.21,0,0,2364,0,1608.4,637.8868942,1
Slovakia,2009,10.87,0.597,16597.21,192.32,0,0,4149,0,2344,842.35,1.4444
Slovakia,2010,12.1,0.511,16908.85,205.5,19,4,6397,0,3557.7,926.71,1
Slovakia,2011,9.1,0.536,18509.74,197.69,477,4,7634,0,4997.2,980.44,1.2222
Slovakia,2012,28,0.495,17498.35,189.89,17,2,8395,0,7881.2,956.53,0.1111
Slovakia,2013,8.52,0.131,18276.01,194.59,20,5,8057,21.84,8280.1,1015.45,0.6389
Slovakia,2014,20.45,0.131,18719.99,181.12,0,4,10136,47.7,9210.6,1066.99,0.25
Slovakia,2015,5.42,0.11,16390.88,182.99,0,5,12974,47.7,10403.5,1059.64,-0.0556
Slovakia,2016,9.48,0.109,16563.44,184.74,0,6,17340,47.7,11314.6,973.43,0.2778
Slovakia,2017,8.11,0,17585.2,194.59,-5,2,22199,47.7,12781.6,942.98,-0.4167
Slovakia,2018,11.04,0,19486.39,191.3,-56,8,25048,33.79,13346.7,977.33,-0.3056
Slovakia,2019,10.4,0,19381.89,184.85,118,12,21697,0,15108.17,1034.81,-0.5
Slovenia,2005,2.31,0,18098.91,85.19,0,2,573,0,525.7,1060.781218,1.3333
Slovenia,2006,2.73,0,19672.97,85.95,0.1,1,979,0,771.5,1100.225996,1.3889
Slovenia,2007,4.81,0,23817.89,85.47,0.4,6,1621,0,1110.7,1144.62,1.3889
Slovenia,2008,6.41,0,27595.6,93.64,0.4,12,2364,0,1608.4,1195.76,1.4444
Slovenia,2009,10.7,0.35,24792.13,86.51,3,9,4149,0,2344,1347.12,1.9444
Slovenia,2010,24.35,0.261,23532.48,86.66,8,10,6397,0,3557.7,1400.43,1.5556
Slovenia,2011,34.25,0.215,25128.02,84.14,45,9,7634,0,4997.2,1526.8,1.3889
Slovenia,2012,32.74,0.156,22641.81,81.76,85,15,8395,0,7881.2,2152.25,0.2778
Slovenia,2013,17.98,0.127,23503.28,80.88,45,4,8057,21.84,8280.1,2223.54,0.3889
Slovenia,2014,24.76,0.099,24247.17,82.97,36,11,10136,47.7,9210.6,1507.65,0.1389
Slovenia,2015,19.83,0.065,20890.17,74.83,15,11,12974,47.7,10403.5,1548.45,0
Slovenia,2016,22.04,0.051,21678.36,79.98,-5,12,17340,47.7,11314.6,1593.86,0.1667
Slovenia,2017,23.01,0.041,23514.03,80.84,13.8,8,22199,47.7,12781.6,1632.97,0.1667
Slovenia,2018,24.8,0,26123.75,82.48,0,2,25048,33.79,13346.7,1662.54,0.1389
Slovenia,2019,52.16,0,26042.45,80.09,31.1,4,21697,0,15108.17,1761.33,0.2222
Spain,2005,12.84,0.498,26429.15,1781.45,19,104,573,0,525.7,2325.72,1.6667
Spain,2006,18.96,0.502,28389.08,1807.2,78,117,979,0,771.5,2394.37,1.6944
Spain,2007,39.89,0.603,32591.35,1846.83,364,187,1621,0,1110.7,2345.32,1.7778
Spain,2008,53.13,0.485,35510.72,1795.81,2890,242,2364,0,1608.4,1898.36,1.75
Spain,2009,37.73,0.46,32169.5,1664.81,39,225,4149,0,2344,2061,1.6944
Spain,2010,29.62,0.328,30532.48,1709.88,450,253,6397,0,3557.7,2077.53,1.3056
Spain,2011,36.92,0.291,31677.9,1677.63,410,265,7634,0,4997.2,2124.8,1.3611
Spain,2012,46.66,0.269,28322.95,1668.33,286,250,8395,0,7881.2,2091.63,0.3333
Spain,2013,36.54,0,29077.18,1584.89,121,228,8057,21.84,8280.1,2195.36,-0.3056
Spain,2014,21.23,0,29513.65,1555.55,7,226,10136,47.7,9210.6,2182.65,-0.3611
Spain,2015,21.28,0,25754.36,1574.96,7,238,12974,47.7,10403.5,2173.51,-0.5
Spain,2016,18.79,0,26537.16,1589.97,9,168,17340,47.7,11314.6,2130.02,-0.5
Spain,2017,26.14,0,28185.32,1608.11,10,177,22199,47.7,12781.6,2287.37,-0.5556
Spain,2018,45.73,0,30379.72,1637.08,40.6,139,25048,33.79,13346.7,2244.45,-0.4167
Spain,2019,61.86,0,29581.52,1591.38,4043.6,93,21697,0,15108.17,2998.25,-0.5
Sweden,2005,0.55,0,43437.06,679.98,0,0,573,0,525.7,1801.26,2.3889
Sweden,2006,0.66,0,46593.6,639.75,1,4,979,0,771.5,1853.26,2.5556
Sweden,2007,0.8,0,53700.01,649.48,1,6,1621,0,1110.7,1981.28,2.3889
Sweden,2008,0.76,0,56152.55,640.23,2,9,2364,0,1608.4,2056.31,2.6111
Sweden,2009,1.8,0,46946.96,586.75,1,5,4149,0,2344,2349.767026,2.6389
Sweden,2010,12.9,0,52869.04,623.75,2,6,6397,0,3557.7,2577.797083,2.3056
Sweden,2011,12.72,0,60755.76,614.72,1,2,7634,0,4997.2,2651.777449,2.0278
Sweden,2012,23.32,0,58037.82,652.45,12,8,8395,0,7881.2,2716.886392,0.9167
Sweden,2013,25.36,0,61126.94,611.28,19,9,8057,21.84,8280.1,3013.061363,0.9167
Sweden,2014,27.67,0,60020.36,608.46,17,13,10136,47.7,9210.6,3144.17,0.8056
Sweden,2015,25.21,0,51545.48,629.15,44,12,12974,47.7,10403.5,2913.96,0.7222
Sweden,2016,28.38,0,51965.16,617.91,49,8,17340,47.7,11314.6,2887.62,0.8889
Sweden,2017,17.89,0,53791.51,637.87,91,8,22199,47.7,12781.6,2828.47,0.7778
Sweden,2018,15.15,0,54589.06,624.85,184,9,25048,33.79,13346.7,2870.88,0.8056
Sweden,2019,20.43,0,51939.43,649.79,286,9,21697,0,15108.17,2930.68,0.6667
